7;"K0GYWJ9TPGYIE E 4 D3XO7429W8UL4V"
17;"2W5U1GD4UQ9VROELP4QOX64GVKYT6LKY"
9;"595RAE9IDY5WM9CHJUOKUI2B8HA5BO3W"
12;"6 XIGAFU E6B5MUYPY0MCP2V1M9IWBGT"
14;"2TM06CHHQ3IUCYOXS27O45ARJGT3DCGE"
13;"1802216D4TY94NTURJBOPH47F6O84T5T"
10;"RIJNM5HY 6 DDFBNYJ7JIK2VTP57H3PU"
0;"BNAP8QF8OJS0TAFU5087WNT26V5EMTFO"
15;"5K1864BPV1304JLGJOHQ674JF6B5OXU4"
2;"5S76PYJFONEBUQC1O1Q3FY1LUXYWMLLJ"
19;"MSUNX3M L2TTGPGOKDDDSYO36A03FBFR"
3;"8OOPUQAHKR2HCKQ0LQGO7JAFJ316WVC5"
4;"2F3GFCFKV1LBRQ85L0N3LADIG1APRAGN"
18;"OS41HN1EAYICXW6SPSDSO3IQUKP5OW0P"
11;"F1OXJP442TUL4HEF504 9H7VB649AFRQ"
16;"6US8FAEC3OJ2AB9MQ23MDR7QCEW6 4NR"
1;"DY4AU80M0HJM9QK077N63D8K7TO63PP0"
6;" L9O3RFN4PFSPW0R9KLANNE9DEWBP OE"
5;"GUC4FEDL RE389FL02GO9A CNVKMX3IE"
8;"KG8B0 N8PPE4BMUQ DG008ESCPG7PE82"
